,stock,symbol
383,Railtel Corporation Of India Ltd.,RAILTEL.NS
384,Rainbow Childrens Medicare Ltd.,RAINBOW.NS
385,Ramkrishna Forgings Ltd.,RKFORGE.NS
386,Rashtriya Chemicals & Fertilizers Ltd.,RCF.NS
387,RattanIndia Enterprises Ltd.,RTNINDIA.NS
388,Raymond Lifestyle Ltd.,RAYMONDLSL.NS
389,Raymond Ltd.,RAYMOND.NS
390,Redington Ltd.,REDINGTON.NS
391,Reliance Industries Ltd.,RELIANCE.NS
392,Reliance Power Ltd.,RPOWER.NS
393,Route Mobile Ltd.,ROUTE.NS
394,SBFC Finance Ltd.,SBFC.NS
395,SBI Cards and Payment Services Ltd.,SBICARD.NS
396,SBI Life Insurance Company Ltd.,SBILIFE.NS
397,SJVN Ltd.,SJVN.NS
398,SKF India Ltd.,SKFINDIA.NS
399,SRF Ltd.,SRF.NS
400,Sagility India Ltd.,SAGILITY.NS
401,Sai Life Sciences Ltd.,SAILIFE.NS
402,Sammaan Capital Ltd.,SAMMAANCAP.NS
403,Samvardhana Motherson International Ltd.,MOTHERSON.NS
404,Sapphire Foods India Ltd.,SAPPHIRE.NS
405,Sarda Energy and Minerals Ltd.,SARDAEN.NS
406,Saregama India Ltd,SAREGAMA.NS
407,Schaeffler India Ltd.,SCHAEFFLER.NS
408,Schneider Electric Infrastructure Ltd.,SCHNEIDER.NS
409,Shipping Corporation of India Ltd.,SCI.NS
410,Shree Cement Ltd.,SHREECEM.NS
411,Shree Renuka Sugars Ltd.,RENUKA.NS
412,Shriram Finance Ltd.,SHRIRAMFIN.NS
413,Shyam Metalics and Energy Ltd.,SHYAMMETL.NS
414,Siemens Ltd.,SIEMENS.NS
415,Signatureglobal (India) Ltd.,SIGNATURE.NS
416,Sobha Ltd.,SOBHA.NS
417,Solar Industries India Ltd.,SOLARINDS.NS
418,Sona BLW Precision Forgings Ltd.,SONACOMS.NS
419,Sonata Software Ltd.,SONATSOFTW.NS
420,Star Health and Allied Insurance Company Ltd.,STARHEALTH.NS
421,State Bank of India,SBIN.NS
422,Steel Authority of India Ltd.,SAIL.NS
423,Sterling and Wilson Renewable Energy Ltd.,SWSOLAR.NS
424,Sumitomo Chemical India Ltd.,SUMICHEM.NS
425,Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS
426,Sun TV Network Ltd.,SUNTV.NS
427,Sundaram Finance Ltd.,SUNDARMFIN.NS
428,Supreme Industries Ltd.,SUPREMEIND.NS
429,Suven Pharmaceuticals Ltd.,COHANCE.NS
430,Suzlon Energy Ltd.,SUZLON.NS
431,Swan Energy Ltd.,SWANENERGY.NS
432,Swiggy Ltd.,SWIGGY.NS
433,Syngene International Ltd.,SYNGENE.NS
434,Syrma SGS Technology Ltd.,SYRMA.NS
435,TBO Tek Ltd.,TBOTEK.NS
436,TVS Motor Company Ltd.,TVSMOTOR.NS
437,Tanla Platforms Ltd.,TANLA.NS
438,Tata Chemicals Ltd.,TATACHEM.NS
439,Tata Communications Ltd.,TATACOMM.NS
440,Tata Consultancy Services Ltd.,TCS.NS
441,Tata Consumer Products Ltd.,TATACONSUM.NS
442,Tata Elxsi Ltd.,TATAELXSI.NS
443,Tata Investment Corporation Ltd.,TATAINVEST.NS
444,Tata Motors Ltd.,TATAMOTORS.NS
445,Tata Power Co. Ltd.,TATAPOWER.NS
446,Tata Steel Ltd.,TATASTEEL.NS
447,Tata Technologies Ltd.,TATATECH.NS
448,Tata Teleservices (Maharashtra) Ltd.,TTML.NS
449,Tech Mahindra Ltd.,TECHM.NS
450,Techno Electric & Engineering Company Ltd.,TECHNOE.NS
451,Tejas Networks Ltd.,TEJASNET.NS
452,The New India Assurance Company Ltd.,NIACL.NS
453,The Ramco Cements Ltd.,RAMCOCEM.NS
454,Thermax Ltd.,THERMAX.NS
455,Timken India Ltd.,TIMKEN.NS
456,Titagarh Rail Systems Ltd.,TITAGARH.NS
457,Titan Company Ltd.,TITAN.NS
458,Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS
459,Torrent Power Ltd.,TORNTPOWER.NS
